"Id","SalePrice"
1461,119797.125249903
1462,158226.940735568
1463,193210.668004607
1464,191033.741893294
1465,197505.900095894
1466,173761.681983047
1467,167192.409879865
1468,172118.175161341
1469,186284.836148903
1470,127052.083875873
1471,187900.376335156
1472,96327.1606964291
1473,98898.9162288464
1474,152645.337938566
1475,137822.069764569
1476,395411.816840212
1477,267794.070393337
1478,293674.295345869
1479,267819.599158766
1480,531188.681204328
1481,334994.4142951
1482,213431.444297706
1483,177401.203283443
1484,170912.679688703
1485,172110.00635522
1486,189506.395026142
1487,343632.335170468
1488,232349.834461738
1489,201952.756395183
1490,231187.355774649
1491,186906.2281753
1492,92103.6076788115
1493,183195.016243015
1494,299455.284800161
1495,278674.127712529
1496,234079.14383131
1497,192918.300291197
1498,164020.857668617
1499,163834.16482975
1500,147814.620260902
1501,170465.144562435
1502,159069.804114092
1503,274298.315316352
1504,243273.160194106
1505,235717.735287001
1506,188712.583854249
1507,231004.674923618
1508,199825.212271369
1509,170124.984053405
1510,150840.363215929
1511,146957.700495805
1512,164986.789903769
1513,130437.051406413
1514,141951.868053109
1515,182407.338654742
1516,143852.271912346
1517,155726.471911291
1518,124521.643641949
1519,206972.478131182
1520,145832.805000193
1521,143013.970495322
1522,154228.968010954
1523,127011.361200954
1524,128363.101344853
1525,122462.988731362
1526,120615.627552764
1527,109970.281133312
1528,134695.228589356
1529,153339.415146073
1530,175276.689297404
1531,110787.242019158
1532,97168.0472776165
1533,139409.439852479
1534,121484.396405017
1535,155422.082735973
1536,107863.330483935
1537,74484.6216503953
1538,157565.344699961
1539,227992.442562047
1540,96958.3603781112
1541,137288.036308855
1542,152263.275933568
1543,213117.853177601
1544,85411.8866889105
1545,110928.821729107
1546,131539.030855148
1547,139718.97441212
1548,139212.193707574
1549,107517.774127894
1550,145040.075654731
1551,110232.925132189
1552,124530.091072247
1553,140215.481422281
1554,111958.431470052
1555,181561.059906297
1556,100983.620566591
1557,100195.580798407
1558,83581.7722588784
1559,94238.9596617916
1560,145655.735513871
1561,142424.230033357
1562,125010.459871165
1563,126539.25379307
1564,163247.964145089
1565,145413.942490808
1566,237699.266168929
1567,71556.2473573518
1568,234204.853387769
1569,146028.562331311
1570,134454.298256136
1571,119442.500107972
1572,149679.512182301
1573,245516.498002663
1574,102103.559983515
1575,236778.845849328
1576,213806.028916232
1577,189817.419853151
1578,148896.872788631
1579,143991.969343947
1580,194439.710871853
1581,143846.918778022
1582,132877.971330526
1583,299566.85415075
1584,223087.375921423
1585,144195.513698233
1586,68302.3641144865
1587,92892.5940751993
1588,152611.548794608
1589,86750.6688618341
1590,131497.816822707
1591,97331.5378481674
