"Id","SalePrice"
1461,119904.075100279
1462,161473.584504001
1463,179789.968732819
1464,197137.360279292
1465,193388.913229638
1466,166328.9958046
1467,174509.660255249
1468,163187.294467339
1469,189445.188745825
1470,119697.544600311
1471,186396.635851863
1472,96741.2251468957
1473,95177.1830668536
1474,147487.185383789
1475,111528.939714321
1476,365205.57647611
1477,246010.887762963
1478,293129.102481218
1479,286235.525898216
1480,488409.014303633
1481,331259.059928158
1482,212350.999617312
1483,174344.816131488
1484,159760.63595709
1485,189903.010765319
1486,194812.781881146
1487,345851.67806717
1488,236225.414043491
1489,189943.324658434
1490,236156.313802811
1491,187485.62989613
1492,89754.5493329843
1493,178241.250783418
1494,297600.401516083
1495,295022.300179341
1496,232725.351411743
1497,176524.215407183
1498,162925.247717944
1499,157166.538356145
1500,155063.008203306
1501,176949.459690546
1502,146184.624034155
1503,277834.148851491
1504,239612.128223118
1505,224682.540858864
1506,193508.518990494
1507,244630.95943749
1508,197107.078523484
1509,165543.075465398
1510,141389.550917733
1511,147632.897194563
1512,171197.122841679
1513,141700.80141148
1514,151212.51063482
1515,189928.712670585
1516,154739.71063968
1517,173406.665987679
1518,134197.465454478
1519,207209.728237029
1520,130054.04580782
1521,132320.069372441
1522,177758.28932249
1523,111399.08872943
1524,127141.305721849
1525,121363.125975711
1526,106251.051745711
1527,106276.317492217
1528,145116.144567993
1529,146206.412347031
1530,177703.769594843
1531,105843.416494791
1532,98596.6908783779
1533,150041.457615223
1534,123799.54087018
1535,151908.070969857
1536,110062.945003049
1537,60493.8838327372
1538,145473.230906354
1539,187363.670679529
1540,90363.2461176097
1541,139842.981319062
1542,134377.887483105
1543,187725.835997948
1544,82050.15516041
1545,103923.39185569
1546,129372.488161679
1547,125649.640771599
1548,130540.63804939
1549,114151.293012046
1550,128699.60715812
1551,111046.635622404
1552,131361.784841457
1553,149809.457614693
1554,116393.613888827
1555,166281.085123159
1556,87037.5536431369
1557,97261.4100326606
1558,97981.0437318143
1559,78492.7042214266
1560,133467.832744827
1561,126466.251740824
1562,129433.125499777
1563,118367.597517923
1564,153779.091718941
1565,143191.986031701
1566,236452.799490503
1567,75100.0753955052
1568,234954.84565298
1569,134093.803596732
1570,139419.477789541
1571,123903.814621193
1572,144835.752058914
1573,227998.542599623
1574,115384.055143561
1575,221213.510892849
1576,239475.447074067
1577,178514.073980017
1578,143553.697115112
1579,146099.401424403
1580,192974.320300192
1581,159530.406555285
1582,124871.987844989
1583,293534.272285368
1584,216554.279184968
1585,136348.919905196
